"typ";"quelle_url";"bild_url";"alt_text"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/07/Brauerei-Hausen.jpg";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/07/Brauerei-Mobil.jpg";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/07/Brauseminar_3.jpg";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/07/Brauseminar-1.jpg";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/07/Etikette-Sonstiges-768x432-1.jpg";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/07/logo_rund-1.png";"Dein Bier zu Hausen gebraut"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/startseite.png";"Dein Bier zu Hausen gebraut"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2024/06/20240615_122331-scaled.jpg";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/07/DSC_4172-scaled.jpg";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/03/Bock-rund-400x250.png";"Starkbierfest in der Brauscheune in Hausen"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/03/Logo-Dein_Bier.png";"Dein Bier, Hausen 3, 87665 Mauerstetten"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/malz_offen-400x250.jpg";"Termine öffentliche Brauseminare 1. Halbjahr 2026"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/Rund-Weizen-400x250.png";"Weizenbier ist wieder da"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Holzkiste_Festbier-400x250.png";"Hurra unser Festbier ist da!"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/Montage_Bierflasche-Bockbier-400x250.png";"Bock auf Bock?"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/06/P1190251-400x250.jpg";"Genussbiergartenzeit"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2024/06/20240615_122331-400x250.jpg";"Das kleine Fässchen"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2025/12/Einlag-Winterspezialitaeten-400x250.jpg";"Das Beste zum Feste"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/06/Karins-Kuchenschmiede.jpg";"<ALT LEER>"
